1	[2]	[-87.50023089135857, -4.939873121385089]	[[-93.6391213427081, -4.865552410869098], [-87.8123778634611, -1.327886590307929], [-83.50177682014062, 0.3368973252502636], [-83.23422227262417, -0.19821179046487014], [-81.36134044000906, -4.984465547694684], [-88.58531322295305, -8.135663673572695], [-91.55814152869131, -10.21664356802044], [-92.777001134044, -6.708706031665669]]
2	[1, 3, 56]	[-79.60508641141391, -0.7828673620257911]	[[-82.90721115899296, 0.7233650199334205], [-79.19956231960596, 2.9247815781814976], [-78.50437816222089, 3.0985776222537167], [-76.30296166383485, -1.7097795970776177], [-80.18440654256813, -4.027060184707172], [-80.93752271306862, -4.664312346305299], [-81.63270687045369, -2.868419890892395]]
3	[2, 4]	[-71.17597850312, 3.619965754470364]	[[-77.57746595237414, 3.446169710398144], [-76.99814582121992, 3.6778977691611017], [-68.3083438539066, 8.08073088565726], [-66.80211151290564, 9.12350715009056], [-65.87519930305889, 7.327614694677656], [-64.77449105386587, 3.5620337397796256], [-68.13454781456035, 1.9399373284389405], [-75.3760494539881, -1.5359835530054013], [-75.8974375720269, -1.8835756411498323], [-76.18709763760401, -0.5511393032628362]]
4	[3, 5, 171]	[-64.28206894238478, 7.124852643260072]	[[-66.45451943421311, 9.586963267616476], [-65.75933527682805, 9.934555355760903], [-63.905510857134544, 10.34007945859608], [-62.225482476787306, 5.589654253955487], [-62.10961845055646, 4.894470077666625], [-64.19517092271165, 3.9096258279240637]]
5	[4, 6]	[-56.49021317836052, 11.353889715684012]	[[-63.615850791557435, 10.687671546740518], [-57.30126136197643, 14.047728398803372], [-51.39219602420338, 17.407785250866226], [-49.074915499586496, 12.42563198746268], [-60.95097818824802, 5.763450298027706], [-61.704094358748506, 5.299994180501798], [-63.905510857134544, 11.324923708338641]]
6	[5, 7, 158, 159, 160]	[-44.58518448314128, 17.81330935370139]	[[-50.58114784058747, 17.871241368392134], [-41.42788976835079, 23.31685074932159], [-40.32718151915777, 23.722374852156754], [-38.29956106011799, 18.682289574062473], [-38.29956106011799, 17.465717265556954], [-40.96443366342741, 16.480873015814396], [-48.43766335531685, 11.904243855246023], [-50.87080790616458, 16.82846510395882]]
7	[6, 8, 9]	[-34.36484118124248, 23.222139958397715]	[[-39.97958944046523, 23.548578808084535], [-34.800092984283005, 26.55181622520326], [-31.448654100870975, 28.118722703699987], [-28.750092922019736, 22.852175928752658], [-31.70980518269529, 21.764046429796593], [-37.759805244958564, 18.325557213095443], [-38.891459932863924, 22.155773049420773], [-39.3702369162085, 23.592103988042773]]
8	[162, 7, 9]	[-29.250632495516335, 25.942463705787873]	[[-31.14397783874261, 28.29282342353296], [-29.664121708404835, 28.945701122906605], [-28.924193643235945, 27.770521264034052], [-27.357287152290063, 23.76620470787575], [-28.0536900371549, 23.24390254837683], [-28.793618102323787, 22.93922628866914]]
9	[7, 8, 10]	[-22.91771876127673, 29.228614792635177]	[[-29.18534472506026, 29.076276662781332], [-26.26915764468876, 31.165485300776965], [-19.087502894520128, 34.82160041726933], [-17.73822230509451, 32.16656443981655], [-16.6500927974932, 29.85972990202969], [-21.786064073371374, 26.63886658511975], [-27.357287152290066, 23.635629168001024], [-28.44541665989137, 26.900017664869203]]
10	[9, 141, 142, 143, 11]	[-12.536963258760263, 35.47447811664297]	[[-18.565200730871506, 35.430952936684726], [-17.73822230509451, 35.77915437635067], [-12.036423685263658, 38.69534143355291], [-8.510884080635424, 40.91512561142328], [-7.118078310905749, 37.21548531497267], [-6.508725786649019, 34.865125597227575], [-11.470596341310982, 32.55829105944073], [-16.388941715668896, 30.033830621862663], [-17.346495682358043, 32.29713997969127]]
